Artist_ID,Artist,Genre_ID
0,Norah Jones,0
1,Elvis Presley,0
2,Barry White,0
3,The Temptations,0
4,Michael Bublé,0
5,Tavares,0
6,Bee Gees,0
7,Sam Cooke,0
8,Lionel Richie,0
9,Stevie Wonder,0
10,Sammy Davis Jr.,0
11,Roy Orbison,0
12,Ray Charles,0
13,Frank Sinatra,0
14,Neil Diamond,0
15,James Taylor,0
16,Chicago,0
17,Carpenters,0
18,Don McLean,0
19,Gilbert O'Sullivan,0
20,Carole King,0
21,Rod Stewart,0
22,Jim Croce,0
23,Carly Simon,0
24,John Denver,0
25,The Hollies,0
26,Barry Manilow,0
27,Barbra Streisand,0
28,Diana Ross,0
29,Bette Midler,0
30,Art Garfunkel,0
31,The Shadows,0
32,The Jackson 5,0
33,Andrea Bocelli,0
34,Gerry & The Pacemakers,0
35,Eva Cassidy,0
36,Etta James,0
37,Ben E. King,0
38,The Righteous Brothers,0
39,Nina Simone,0
40,The Mamas & The Papas,0
41,Aretha Franklin,0
42,Tom Jones,0
43,Louis Armstrong,0
44,Dusty Springfield,0
45,Roberta Flack,0
46,Fats Domino,0
47,Deep Purple,1
48,Ten Years After,1
49,Robert Plant,1
50,Golden Earring,1
51,Status Quo,1
52,David Bowie,1
53,The Bangles,1
54,Pat Benatar,1
55,The Cult,1
56,Neil Young,1
57,Fish,1
58,Billy Joel,1
59,Mike Oldfield,1
60,Tom Petty and the Heartbreakers,1
61,10cc,1
62,Focus,1
63,Paul McCartney,1
64,The Rolling Stones,1
65,Ram Jam,1
66,Emerson Lake & Palmer,1
67,Scorpions,1
68,Derek & The Dominos,1
69,The Who,1
70,Eric Clapton,1
71,John Lennon,1
72,The Moody Blues,1
73,Procol Harum,1
74,Jackson Browne,1
75,Black Sabbath,1
76,Creedence Clearwater Revival,1
77,Led Zeppelin,1
78,Crosby Stills Nash & Young,1
79,The Doors,1
80,George Harrison,1
81,Pink Floyd,1
82,Alice Cooper,1
83,Jethro Tull,1
84,Yes,1
85,Eagles,1
86,America,1
87,The Kinks,1
88,Uriah Heep,1
89,Thin Lizzy,1
90,The Doobie Brothers,1
91,Steely Dan,1
92,Aerosmith,1
93,Lynyrd Skynyrd,1
94,ZZ Top,1
95,Genesis,1
96,Bob Dylan,1
97,Steve Miller Band,1
98,Slade,1
99,Supertramp,1
100,Joe Cocker,1
101,Sweet,1
102,Bachman-Turner Overdrive,1
103,Electric Light Orchestra,1
104,Fleetwood Mac,1
105,Nazareth,1
106,Little River Band,1
