Title_ID,Title,Year,Length (Duration),Beats Per Minute (BPM),Danceability,Popularity,Energy,Artist_ID,Genre_ID
0,0,Sunrise,2004,201,157,53,71,30,0,0
1,1,Black Night,2000,207,135,50,39,79,47,1
2,2,Clint Eastwood,2001,341,168,66,69,69,163,2
3,3,The Pretender,2007,269,173,43,76,96,164,3
4,4,Waitin' On A Sunny Day,2002,256,106,58,59,82,194,4
5,5,The Road Ahead (Miles Of The Unknown),2004,247,99,54,45,46,205,5
6,6,She Will Be Loved,2002,257,102,71,74,71,211,6
7,7,Knights of Cydonia,2006,366,137,37,69,96,224,7
8,8,Mr. Brightside,2004,223,148,36,77,92,225,7
9,9,Without Me,2002,290,112,91,82,67,233,8
10,10,Love Me Tender,2002,162,109,44,49,5,1,0
11,11,Seven Nation Army,2003,232,124,74,74,46,234,9
12,12,Als Het Golft,2000,214,102,54,34,88,262,10
13,13,I'm going home,2005,639,117,38,26,93,48,1
14,14,Fluorescent Adolescent,2007,173,112,65,66,81,285,11
15,15,Zonder Jou,2006,236,133,42,48,42,286,12
16,16,Speed of Sound,2005,288,123,52,69,90,300,13
17,17,Uninvited,2005,276,127,38,57,54,235,9
18,18,Music,2004,352,87,27,46,31,304,14
19,19,Cry Me a River,2002,288,74,62,74,65,319,15
20,20,Fix You,2005,296,138,21,81,42,300,13
21,21,The Cave,2009,218,142,60,67,51,357,16
22,22,Als De Morgen Is Gekomen,2006,176,96,63,55,89,358,17
23,23,Somebody Told Me,2004,197,138,51,69,99,225,7
24,24,Dichterbij Dan Ooit,2002,261,112,65,16,74,359,17
25,25,Miracle,2008,270,130,55,50,48,388,18
26,26,Smokers Outside the Hospital Doors,2007,298,123,53,56,68,393,19
27,27,Cleanin' Out My Closet,2002,298,148,91,71,76,233,8
28,28,Der Weg,2008,259,142,34,48,24,401,20
29,29,7 Seconds (feat. Neneh Cherry),2004,306,154,68,59,70,407,21
30,30,The Scientist,2002,310,146,56,84,44,300,13
31,31,Big Log - 2006 Remaster,2007,306,181,56,57,59,49,1
32,32,Chasing Pavements,2008,211,80,62,63,47,408,22
33,33,Don't Know Why,2002,186,88,73,74,20,0,0
34,34,Tears Dry On Their Own,2006,185,122,64,72,87,409,22
35,35,The Eyes of Jenny,2009,264,119,68,44,53,305,14
36,36,Iris,2007,290,156,29,75,79,236,9
37,37,The Saints Are Coming,2006,202,152,32,40,81,415,23
38,38,All My Life,2002,263,168,58,72,60,164,3
39,39,De Weg,2005,266,72,46,42,21,360,17
40,40,Don't Let Me Be Misunderstood,2003,629,118,67,59,82,418,24
41,41,Traffic - Radio Edit,2009,177,138,71,53,64,429,25
42,42,Take Me Out,2004,237,105,28,74,68,237,9
43,43,American Idiot,2004,176,186,38,78,99,226,7
44,44,Breaking the Habit,2003,197,100,58,65,85,165,3
45,45,Come Undone,2002,278,168,38,56,57,320,15
46,46,Sweet Jane,2008,331,115,83,43,46,432,26
47,47,Run,2004,355,75,37,65,64,416,23
48,48,You're The First The Last My Everything,2009,213,131,64,67,72,2,0
49,49,The Day After Tomorrow,2005,234,76,46,51,77,453,27
50,50,Just Breathe,2009,216,108,47,69,35,238,9
51,51,Dansen Aan Zee,2000,275,194,35,52,43,359,17
52,52,Goodbye My Lover,2005,259,90,43,69,26,454,28
53,53,The Unforgiven III,2008,467,122,30,52,77,166,3
54,54,Hurt,2006,243,149,33,67,30,321,15
55,55,Grounds for Divorce,2009,219,92,52,43,76,462,29
56,56,Sometimes You Can't Make It On Your Own,2004,305,96,53,57,60,415,23
57,57,"Listen (From the Motion Picture ""Dreamgirls"")",2006,218,123,48,44,59,322,15
58,58,I Want It That Way,2001,214,99,69,77,70,466,30
59,59,Goin To The Run,2008,236,124,47,38,59,50,1
60,60,De Neus Umhoeg,2005,215,132,62,32,41,471,31
61,61,Solitary Man,2000,144,86,44,47,56,475,32
62,62,Smoorverliefd,2008,195,166,70,48,75,287,12
63,63,Me Gustas Tu,2001,240,176,66,70,74,476,33
64,64,Kryptonite,2000,234,99,55,77,87,167,3
65,65,Crazy,2004,357,103,63,63,86,410,22
66,66,Family Portrait,2001,297,92,76,56,69,323,15
67,67,In The Army Now,2002,281,105,68,59,73,51,1
68,68,I Surrender,2004,219,136,28,55,43,453,27
69,69,Maybe Tomorrow,2003,273,81,50,64,65,463,29
70,70,Make You Feel My Love,2008,212,77,55,73,18,408,22
71,71,No One Knows,2002,279,171,51,65,58,168,3
72,72,Where Do You Go To (My Lovely) - Re-Recorded,2008,288,183,56,58,44,477,34
73,73,The Wild Rover,2008,249,178,30,46,68,480,35
74,74,Little Lion Man,2009,247,139,52,67,48,357,16
75,75,Dirty Diana,2003,281,131,75,55,80,212,6
76,76,Ne me quitte pas,2004,229,101,42,58,24,483,36
77,77,Sad Man's Tongue,2007,186,110,43,57,96,169,3
78,78,Wat Zou Je Doen - Live,2006,229,104,66,30,92,288,12
79,79,One Day Like This,2009,394,159,43,45,67,462,29
80,80,Bagagedrager,2002,375,160,50,45,71,263,10
81,81,Wêr Bisto,2001,226,88,52,48,32,361,17
82,82,Only Time,2000,219,83,42,70,25,481,35
83,83,Sorry Seems To Be The Hardest Word,2004,210,79,56,58,60,467,30
84,84,Self Esteem,2005,258,105,46,72,91,170,3
85,85,Aanzoek Zonder Ringen,2006,283,160,55,42,85,359,17
86,86,Modern World,2007,210,120,70,42,76,264,10
87,87,Rosie,2007,264,100,59,43,55,265,10
88,88,This Is Not America - 2002 Remaster,2002,231,115,72,43,67,52,1
89,89,Times Like These,2002,266,145,38,65,91,164,3
90,90,De Vondeling Van Ameland,2007,306,110,39,19,35,266,10
91,91,I'm Gonna Be (500 Miles),2003,219,132,85,74,55,490,37
92,92,Afscheid Nemen Bestaat Niet,2006,240,128,40,49,40,288,12
93,93,Blauwe Ruis,2002,268,130,52,41,70,359,17
94,94,Limburg - Live,2008,403,157,23,32,93,471,31
95,95,21 Guns,2009,321,160,27,75,74,226,7
96,96,Valerie (feat. Amy Winehouse) - Version Revisited,2007,219,106,70,62,84,324,15
97,97,Blaosmuziek,2005,232,61,27,38,13,472,31
98,98,Binnen,2002,275,92,50,30,90,288,12
99,99,Motorcycle Emptiness,2002,306,112,53,39,81,239,9
100,100,In the End,2000,217,105,56,83,86,165,3
101,101,Halt mich,2008,207,104,29,44,44,401,20
102,102,Girl,2004,211,136,67,56,80,264,10
103,103,Trapped - Live at Meadowlands Arena E. Rutherford NJ - August 1984,2003,308,162,32,40,62,194,4
104,104,Ik Wou Dat Ik Jou Was,2003,237,160,36,58,61,289,12
105,105,Empire State of Mind (Part II) Broken Down,2009,216,93,48,75,37,492,38
106,106,Numb / Encore,2004,206,107,69,75,79,493,39
107,107,Ben Ik Te Min,2009,208,101,62,47,69,497,40
108,108,All Summer Long,2007,298,103,70,72,86,171,3
109,109,Forever Autumn,2007,273,122,35,41,49,306,14
110,110,Waiting On the World to Change,2006,201,177,58,74,76,455,28
111,111,Everybody's Changing,2004,215,94,52,54,84,227,7
112,112,How to Save a Life,2005,263,122,64,80,74,228,7
113,113,Bloed Zweet En Tranen,2002,242,68,60,59,72,362,17
114,114,"Lose Yourself - From ""8 Mile"" Soundtrack",2005,326,171,69,77,74,233,8
115,115,Europa (Earth's Cry Heaven's Smile),2007,306,75,30,59,67,510,41
116,116,Feeling Good,2001,199,109,35,51,42,224,7
117,117,Harder Better Faster Stronger,2001,225,123,82,71,72,517,42
118,118,Use Somebody,2008,231,137,28,76,72,229,7
119,119,Sweet Disposition,2009,231,129,53,64,82,394,19
120,120,Single Ladies (Put a Ring on It),2008,193,193,43,70,58,322,15
121,121,You're the Voice,2008,302,85,37,62,76,521,43
122,122,Voltooid Verleden Tijd,2009,294,138,46,39,44,363,17
123,123,Eternal Flame,2004,238,79,53,70,36,53,1
124,124,Papa Was A Rolling Stone,2001,433,120,85,44,60,3,0
125,125,Crazy In Love (feat. Jay-Z),2003,236,99,65,75,77,322,15
126,126,Best of You,2005,256,130,37,75,94,164,3
127,127,Daughters,2003,238,125,67,68,41,455,28
128,128,De wedstrijd,2006,302,136,58,42,85,526,44
129,129,Papillon,2009,324,126,51,56,95,393,19
130,130,Sadeness,2001,256,96,59,58,64,532,45
131,131,Red Mij Niet - Single Edit,2001,270,119,52,36,38,267,10
